	id	context	question	model_answer	gold_answers	mturk_scores	avg_score
347	5725bcb6271a42140099d0ed	"In response to American aid to Israel, on October 16, 1973, OPEC raised the posted price of oil by 70%, to $5.11 a barrel. The following day, oil ministers agreed to the embargo, a cut in production by five percent from September's output and to continue to cut production in five percent monthly increments until their economic and political objectives were met. On October 19, Nixon requested Congress to appropriate $2.2 billion in emergency aid to Israel, including $1.5 billion in outright grants. George Lenczowski notes, ""Military supplies did not exhaust Nixon's eagerness to prevent Israel's collapse...This [$2.2 billion] decision triggered a collective OPEC response."" Libya immediately announced it would embargo oil shipments to the United States. Saudi Arabia and the other Arab oil-producing states joined the embargo on October 20, 1973. At their Kuwait meeting, OAPEC proclaimed the embargo that curbed exports to various countries and blocked all oil deliveries to the US as a ""principal hostile country""."	Why did the oil ministers agree to a cut in oil production?	american aid to israel	['until their economic and political objectives were met', 'in response to american aid to israel', 'opec raised the posted price of oil', 'until their economic and political objectives were met']	[2]	2
348	5726dcbddd62a815002e9324	In Japan, at the end of the Asuka period (538–710) and the early Nara period (710–794), the men who fulfilled roles similar to those of modern pharmacists were highly respected. The place of pharmacists in society was expressly defined in the Taihō Code (701) and re-stated in the Yōrō Code (718). Ranked positions in the pre-Heian Imperial court were established; and this organizational structure remained largely intact until the Meiji Restoration (1868). In this highly stable hierarchy, the pharmacists—and even pharmacist assistants—were assigned status superior to all others in health-related fields such as physicians and acupuncturists. In the Imperial household, the pharmacist was even ranked above the two personal physicians of the Emperor.	Where did the pharmacist stand in relation to the Emperor's personal physicians?	above	['ranked above', 'ranked above', 'ranked above the two personal physicians of the emperor']	[5]	5
349	57266e72f1498d1400e8df8e	For many geologic applications, isotope ratios of radioactive elements are measured in minerals that give the amount of time that has passed since a rock passed through its particular closure temperature, the point at which different radiometric isotopes stop diffusing into and out of the crystal lattice. These are used in geochronologic and thermochronologic studies. Common methods include uranium-lead dating, potassium-argon dating, argon-argon dating and uranium-thorium dating. These methods are used for a variety of applications. Dating of lava and volcanic ash layers found within a stratigraphic sequence can provide absolute age data for sedimentary rock units which do not contain radioactive isotopes and calibrate relative dating techniques. These methods can also be used to determine ages of pluton emplacement. Thermochemical techniques can be used to determine temperature profiles within the crust, the uplift of mountain ranges, and paleotopography.	What type of ratios are used in geochronologic and thermochronologic studies?	isotope ratios	['isotope ratios of radioactive elements', 'isotope', 'isotope', 'isotope']	[2]	2
350	"858:3377:bert_large:squad,57296a65af94a219006aa3c7,Chloroplast,In cpDNA"""	 there are several A → G deamination gradients. DNA becomes susceptible to deamination events when it is single stranded. When replication forks form	 the strand not being copied is single stranded	 and thus at risk for A → G deamination. Therefore		[]	0
351	5726431aec44d21400f3dd17	Tymnet was an international data communications network headquartered in San Jose, CA that utilized virtual call packet switched technology and used X.25, SNA/SDLC, BSC and ASCII interfaces to connect host computers (servers)at thousands of large companies, educational institutions, and government agencies. Users typically connected via dial-up connections or dedicated async connections. The business consisted of a large public network that supported dial-up users and a private network business that allowed government agencies and large companies (mostly banks and airlines) to build their own dedicated networks. The private networks were often connected via gateways to the public network to reach locations not on the private network. Tymnet was also connected to dozens of other public networks in the U.S. and internationally via X.25/X.75 gateways. (Interesting note: Tymnet was not named after Mr. Tyme. Another employee suggested the name.)  	Gateways allowed private companies to do what 	build their own dedicated networks	['private networks were often connected via gateways to the public network to reach locations not on the private network', 'reach locations not on the private network', 'reach locations not on the private network']	[4]	4
352	56d71d9d0d65d21400198374	"In addition to the Vince Lombardi Trophy that all Super Bowl champions receive, the winner of Super Bowl 50 will also receive a large, 18-karat gold-plated ""50"". Each digit will weigh 33 lb (15 kg) for a total of 66 lb (30 kg). Like the Lombardi Trophy, the ""50"" will be designed by Tiffany & Co."	What is the name of the trophy that all Super Bowl winners receive?	vince lombardi	['vince lombardi trophy', 'vince lombardi trophy', 'vince lombardi trophy']	[3]	3
353	56d20564e7d4791d00902612	The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.	What three stadiums did the NFL decide between for the game?	new orleans mercedesbenz superdome miamis sun life stadium	['new orleans mercedesbenz superdome miamis sun life stadium and the san francisco bay areas levis stadium', 'new orleans mercedesbenz superdome miamis sun life stadium and the san francisco bay areas levis stadium', 'new orleans mercedesbenz superdome miamis sun life stadium and the san francisco bay areas levis stadium']	[3]	3
354	572ffc0f947a6a140053cef2	Through stream capture, the Rhine extended its watershed southward. By the Pliocene period, the Rhine had captured streams down to the Vosges Mountains, including the Mosel, the Main and the Neckar. The northern Alps were then drained by the Rhone. By the early Pleistocene period, the Rhine had captured most of its current Alpine watershed from the Rhône, including the Aar. Since that time, the Rhine has added the watershed above Lake Constance (Vorderrhein, Hinterrhein, Alpenrhein; captured from the Rhône), the upper reaches of the Main, beyond Schweinfurt and the Vosges Mountains, captured from the Meuse, to its watershed.	Where are the streams the Rhine captured?	down to the vosges mountains	['vosges mountains', 'vosges mountains', 'vosges mountains']	[3]	3
355	56e10fbacd28a01900c6750c	"During the same year, Tesla wrote a treatise, The Art of Projecting Concentrated Non-dispersive Energy through the Natural Media, concerning charged particle beam weapons. Tesla published the document in an attempt to expound on the technical description of a ""superweapon that would put an end to all war."" This treatise is currently in the Nikola Tesla Museum archive in Belgrade. It describes an open-ended vacuum tube with a gas jet seal that allows particles to exit, a method of charging particles to millions of volts, and a method of creating and directing non-dispersive particle streams (through electrostatic repulsion). Tesla tried to interest the US War Department, the United Kingdom, the Soviet Union, and Yugoslavia in the device."	How many volts could particles be charged to in his weapon design?	millions of volts	['millions', 'millions', 'millions']	[5]	5
356	572975a3af94a219006aa467	The Calvin cycle starts by using the enzyme Rubisco to fix CO2 into five-carbon Ribulose bisphosphate (RuBP) molecules. The result is unstable six-carbon molecules that immediately break down into three-carbon molecules called 3-phosphoglyceric acid, or 3-PGA. The ATP and NADPH made in the light reactions is used to convert the 3-PGA into glyceraldehyde-3-phosphate, or G3P sugar molecules. Most of the G3P molecules are recycled back into RuBP using energy from more ATP, but one out of every six produced leaves the cycle—the end product of the dark reactions.	What do unstable 6-carbon molecules become?	3phosphoglyceric acid	['threecarbon molecules called 3phosphoglyceric acid', 'threecarbon molecules', 'threecarbon molecules called 3phosphoglyceric acid or 3pga']	[5]	5
357	56bf4e1b3aeaaa14008c95c0	"On June 4, 2014, the NFL announced that the practice of branding Super Bowl games with Roman numerals, a practice established at Super Bowl V, would be temporarily suspended, and that the game would be named using Arabic numerals as Super Bowl 50 as opposed to Super Bowl L. The use of Roman numerals will be reinstated for Super Bowl LI. Jaime Weston, the league's vice president of brand and creative, explained that a primary reason for the change was the difficulty of designing an aesthetically pleasing logo with the letter ""L"" using the standardized logo template introduced at Super Bowl XLV. The logo also deviates from the template by featuring large numerals, colored in gold, behind the Vince Lombardi Trophy, instead of underneath and in silver as in the standard logo."	If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?	arabic numerals	['l', 'l', 'l']	[3]	3
358	5726e5b1f1498d1400e8ef33	Since 1974, ABC has generally aired Dick Clark's New Year's Rockin' Eve on New Year's Eve (hosted first by its creator Dick Clark, and later by his successor Ryan Seacrest); the only exception was in 1999, when ABC put it on a one-year hiatus to provide coverage of the international millennium festivities, though Clark's traditional countdown from Times Square was still featured within the coverage. ABC has also aired the Miss America pageant from 1954 to 1956, 1997 to 2005 (with the television rights being assumed by cable channel TLC in 2006, when the pageant moved from its longtime homebase in Atlantic City to Las Vegas, before returning to Atlantic City in 2013) and since 2011. Under its current contract with the Miss America Organization, ABC will continue to broadcast the pageant through 2016.	Where was New Year's Rockin' Eve hosted?	abc	['times square', 'times square', 'new year']	[4]	4
359	56e7560937bdd419002c3e8d	"This is true throughout most of the United States as well. However, alternative approaches for primary education do exist. One of these, sometimes referred to as a ""platoon"" system, involves placing a group of students together in one class that moves from one specialist to another for every subject. The advantage here is that students learn from teachers who specialize in one subject and who tend to be more knowledgeable in that one area than a teacher who teaches many subjects. Students still derive a strong sense of security by staying with the same group of peers for all classes."	In a platoon style teaching, what gives the children security?	staying with the same group of peers	['staying with the same group of peers for all classes', 'staying with the same group of peers for all classes', 'by staying with the same group of peers for all classes']	[5]	5
360	57379829c3c5551400e51f3f	"The weak force is due to the exchange of the heavy W and Z bosons. Its most familiar effect is beta decay (of neutrons in atomic nuclei) and the associated radioactivity. The word ""weak"" derives from the fact that the field strength is some 1013 times less than that of the strong force. Still, it is stronger than gravity over short distances. A consistent electroweak theory has also been developed, which shows that electromagnetic forces and the weak force are indistinguishable at a temperatures in excess of approximately 1015 kelvins. Such temperatures have been probed in modern particle accelerators and show the conditions of the universe in the early moments of the Big Bang."	What is the effect of beta decay?	neutrons in atomic nuclei	['radioactivity', 'radioactivity', 'radioactivity', 'radioactivity']	[2]	2
361	573009a004bcaa1900d7704f	By the 6th century, the Rhine was within the borders of Francia. In the 9th, it formed part of the border between Middle and Western Francia, but in the 10th century, it was fully within the Holy Roman Empire, flowing through Swabia, Franconia and Lower Lorraine. The mouths of the Rhine, in the county of Holland, fell to the Burgundian Netherlands in the 15th century; Holland remained contentious territory throughout the European wars of religion and the eventual collapse of the Holy Roman Empire, when the length of the Rhine fell to the First French Empire and its client states. The Alsace on the left banks of the Upper Rhine was sold to Burgundy by Archduke Sigismund of Austria in 1469 and eventually fell to France in the Thirty Years' War. The numerous historic castles in Rhineland-Palatinate attest to the importance of the river as a commercial route.	When did the Rhine become borders with Francia?	9th	['6th century', '6th century']	[2]	2
362	572a1046af94a219006aa78f	"Economist Joseph Stiglitz presented evidence in 2009 that both global inequality and inequality within countries prevent growth by limiting aggregate demand. Economist Branko Milanovic, wrote in 2001 that, ""The view that income inequality harms growth – or that improved equality can help sustain growth – has become more widely held in recent years. ... The main reason for this shift is the increasing importance of human capital in development. When physical capital mattered most, savings and investments were key. Then it was important to have a large contingent of rich people who could save a greater proportion of their income than the poor and invest it in physical capital. But now that human capital is scarcer than machines, widespread education has become the secret to growth."""	What are both Branko Milanovic and Joseph Stiglitz?	global inequality and inequality within countries prevent growth by limiting aggregate demand	['economist', 'economist', 'economist']	[4]	4
363	572678c0dd62a815002e8641	In terms of housing stock, the authority is one of few authorities to see the proportion of detached homes rise in the 2010 Census (to 7.8%), in this instance this was coupled with a similar rise in flats and waterside apartments to 25.6%, and the proportion of converted or shared houses in 2011 renders this dwelling type within the highest of the five colour-coded brackets at 5.9%, and on a par with Oxford and Reading, greater than Manchester and Liverpool and below a handful of historic densely occupied, arguably overinflated markets in the local authorities: Harrogate, Cheltenham, Bath, inner London, Hastings, Brighton and Tunbridge Wells.	Harrogate market is in the local what?	local authorities	['authorities', 'authorities', 'authorities']	[1]	1
364	572976791d046914007794b3	Photorespiration can occur when the oxygen concentration is too high. Rubisco cannot distinguish between oxygen and carbon dioxide very well, so it can accidentally add O2 instead of CO2 to RuBP. This process reduces the efficiency of photosynthesis—it consumes ATP and oxygen, releases CO2, and produces no sugar. It can waste up to half the carbon fixed by the Calvin cycle. Several mechanisms have evolved in different lineages that raise the carbon dioxide concentration relative to oxygen within the chloroplast, increasing the efficiency of photosynthesis. These mechanisms are called carbon dioxide concentrating mechanisms, or CCMs. These include Crassulacean acid metabolism, C4 carbon fixation, and pyrenoids. Chloroplasts in C4 plants are notable as they exhibit a distinct chloroplast dimorphism.	What is unusual about C4 plants' chloroplasts?	chloroplast dimorphism	['they exhibit a distinct chloroplast dimorphism', 'exhibit a distinct chloroplast dimorphism', 'exhibit a distinct chloroplast dimorphism']	[4]	4
365	56e749dd00c9c71400d76f53	In some countries, formal education can take place through home schooling. Informal learning may be assisted by a teacher occupying a transient or ongoing role, such as a family member, or by anyone with knowledge or skills in the wider community setting.	What type of education is home schooling?	informal learning	['formal', 'informal', 'formal education']	[2]	2
366	56f84d33aef2371900625fb4	"Despite his victory in Wittenberg, Luther was unable to stifle radicalism further afield. Preachers such as Zwickau prophet Nicholas Storch and Thomas Müntzer helped instigate the German Peasants' War of 1524–25, during which many atrocities were committed, often in Luther's name. There had been revolts by the peasantry on a smaller scale since the 15th century. Luther's pamphlets against the Church and the hierarchy, often worded with ""liberal"" phraseology, now led many peasants to believe he would support an attack on the upper classes in general. Revolts broke out in Franconia, Swabia, and Thuringia in 1524, even drawing support from disaffected nobles, many of whom were in debt. Gaining momentum under the leadership of radicals such as Müntzer in Thuringia and Michael Gaismair in Tyrol, the revolts turned into war."	What did the peasants believe Luther would do for them?	support an attack on the upper classes in general	['support an attack', 'support an attack', 'support an attack on the upper classes']	[5]	5
367	5728274cff5b5019007d9e2a	A wide selection of serials are available from BBC Video on DVD, on sale in the United Kingdom, Australia, Canada and the United States. Every fully extant serial has been released on VHS, and BBC Worldwide continues to regularly release serials on DVD. The 2005 series is also available in its entirety on UMD for the PlayStation Portable. Eight original series serials have been released on Laserdisc and many have also been released on Betamax tape and Video 2000. One episode of Doctor Who (The Infinite Quest) was released on VCD. Only the series from 2009 onwards are available on Blu-ray, except for the 1970 story Spearhead from Space, released in July 2013. Many early releases have been re-released as special editions, with more bonus features.	What series years are available on Blu-ray?	2009 onwards	['from 2009 onwards', 'series from 2009 onwards', 'from 2009 onwards']	[3]	3
368	5725fe63ec44d21400f3d7e0	Fresno is the largest U.S. city not directly linked to an Interstate highway. When the Interstate Highway System was created in the 1950s, the decision was made to build what is now Interstate 5 on the west side of the Central Valley, and thus bypass many of the population centers in the region, instead of upgrading what is now State Route 99. Due to rapidly raising population and traffic in cities along SR 99, as well as the desirability of Federal funding, much discussion has been made to upgrade it to interstate standards and eventually incorporate it into the interstate system, most likely as Interstate 9. Major improvements to signage, lane width, median separation, vertical clearance, and other concerns are currently underway.	What are the factors that are contributing to the desire to have SR 99 improved to be of interstate standards?	rapidly raising population and traffic in cities	['rapidly raising population and traffic in cities along sr 99', 'rapidly raising population and traffic in cities along sr 99 as well as the desirability of federal funding', 'rapidly raising population and traffic in cities along sr 99 as well as the desirability of federal funding']	[5]	5
369	5729f5a03f37b31900478606	Gamma delta T cells (γδ T cells) possess an alternative T cell receptor (TCR) as opposed to CD4+ and CD8+ (αβ) T cells and share the characteristics of helper T cells, cytotoxic T cells and NK cells. The conditions that produce responses from γδ T cells are not fully understood. Like other 'unconventional' T cell subsets bearing invariant TCRs, such as CD1d-restricted Natural Killer T cells, γδ T cells straddle the border between innate and adaptive immunity. On one hand, γδ T cells are a component of adaptive immunity as they rearrange TCR genes to produce receptor diversity and can also develop a memory phenotype. On the other hand, the various subsets are also part of the innate immune system, as restricted TCR or NK receptors may be used as pattern recognition receptors. For example, large numbers of human Vγ9/Vδ2 T cells respond within hours to common molecules produced by microbes, and highly restricted Vδ1+ T cells in epithelia respond to stressed epithelial cells.	Gamma delta T cells have a different version of what receptor?	t cell receptor	['alternative t cell receptor tcr', 't cell', 't cell receptor tcr']	[4]	4
370	5726e37ef1498d1400e8eed8	The costume collection is the most comprehensive in Britain, containing over 14,000 outfits plus accessories, mainly dating from 1600 to the present. Costume sketches, design notebooks, and other works on paper are typically held by the Word and Image department. Because everyday clothing from previous eras has not generally survived, the collection is dominated by fashionable clothes made for special occasions. One of the first significant gifts of costume came in 1913 when the V&A received the Talbot Hughes collection containing 1,442 costumes and items as a gift from Harrods following its display at the nearby department store.	Approximately how many items are in the costume collection of the V&A?	14000	['over 14000', 'over 14000 outfits', 'over 14000', 'over 14000']	[5]	5
371	572926653f37b3190047807b	The current 8–4–4 system was launched in January 1985. It put more emphasis on vocational subjects on the assumption that the new structure would enable school drop-outs at all levels either to be self-employed or to secure employment in the informal sector. In January 2003, the Government of Kenya announced the introduction of free primary education. As a result, primary school enrolment increased by about 70%. Secondary and tertiary education enrolment has not increased proportionally because payment is still required for attendance. In 2007 the government issued a statement declaring that from 2008, secondary education would be heavily subsidiszed, with the government footing all tuition fees.	Why were vocational subjects most important?	new structure would enable school dropouts at all levels	['new structure would enable school dropouts at all levels either to be selfemployed or to secure employment in the informal sector', 'enable school dropouts at all levels either to be selfemployed or to secure employment', 'enable school dropouts at all levels either to be selfemployed or to secure employment']	[1]	1
372	56f8a6969e9bad19000a025f	"On the other hand, Luther also points out that the Ten Commandments – when considered not as God's condemning judgment but as an expression of his eternal will, that is, of the natural law – also positively teach how the Christian ought to live. This has traditionally been called the ""third use of the law."" For Luther, also Christ's life, when understood as an example, is nothing more than an illustration of the Ten Commandments, which a Christian should follow in his or her vocations on a daily basis."	What should a Christian follow in his life?	vocations	['ten commandments', 'ten commandments', 'his or her vocations on a daily basis']	[4]	4
373	56f8a2969e9bad19000a022e	Early in 1537, Johannes Agricola (1494–1566) – serving at the time as pastor in Luther's birthplace, Eisleben – preached a sermon in which he claimed that God's gospel, not God's moral law (the Ten Commandments), revealed God's wrath to Christians. Based on this sermon and others by Agricola, Luther suspected that Agricola was behind certain anonymous antinomian theses circulating in Wittenberg. These theses asserted that the law is no longer to be taught to Christians but belonged only to city hall. Luther responded to these theses with six series of theses against Agricola and the antinomians, four of which became the basis for disputations between 1538 and 1540. He also responded to these assertions in other writings, such as his 1539 open letter to C. Güttel Against the Antinomians, and his book On the Councils and the Church from the same year.	How did Luther respond to Agricola?	six series of theses against agricola and the antinomians	['theses against agricola', 'six series of theses', 'six series of theses against agricola']	[3]	3
374	5727d4922ca10214002d977c	"Harvard's academic programs operate on a semester calendar beginning in early September and ending in mid-May. Undergraduates typically take four half-courses per term and must maintain a four-course rate average to be considered full-time. In many concentrations, students can elect to pursue a basic program or an honors-eligible program requiring a senior thesis and/or advanced course work. Students graduating in the top 4–5% of the class are awarded degrees summa cum laude, students in the next 15% of the class are awarded magna cum laude, and the next 30% of the class are awarded cum laude. Harvard has chapters of academic honor societies such as Phi Beta Kappa and various committees and departments also award several hundred named prizes annually. Harvard, along with other universities, has been accused of grade inflation, although there is evidence that the quality of the student body and its motivation have also increased. Harvard College reduced the number of students who receive Latin honors from 90% in 2004 to 60% in 2005. Moreover, the honors of ""John Harvard Scholar"" and ""Harvard College Scholar"" will now be given only to the top 5 percent and the next 5 percent of each class."	What is the duration of Harvard Academic year?	semester	['beginning in early september and ending in midmay', 'beginning in early september and ending in midmay', 'beginning in early september and ending in midmay']	[3]	3
375	5726249538643c19005ad082	Baran developed the concept of distributed adaptive message block switching during his research at the RAND Corporation for the US Air Force into survivable communications networks, first presented to the Air Force in the summer of 1961 as briefing B-265, later published as RAND report P-2626 in 1962, and finally in report RM 3420 in 1964. Report P-2626 described a general architecture for a large-scale, distributed, survivable communications network. The work focuses on three key ideas: use of a decentralized network with multiple paths between any two points, dividing user messages into message blocks, later called packets, and delivery of these messages by store and forward switching.	How are Air force messages delivered 	by store and forward switching	['delivery of these messages by store and forward switching', 'decentralized network with multiple paths between any two points', 'store and forward switching']	[4]	4
376	56dde0ba66d3e219004dad77	In the course of the 10th century, the initially destructive incursions of Norse war bands into the rivers of France evolved into more permanent encampments that included local women and personal property. The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria. The treaty offered Rollo and his men the French lands between the river Epte and the Atlantic coast in exchange for their protection against further Viking incursions. The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine. The territory was roughly equivalent to the old province of Rouen, and reproduced the Roman administrative structure of Gallia Lugdunensis II (part of the former Gallia Lugdunensis).	What river originally bounded the Duchy	river seine	['seine', 'epte', 'seine']	[5]	5
377	5725c63438643c19005acc9f	NASA's CALIPSO satellite has measured the amount of dust transported by wind from the Sahara to the Amazon: an average 182 million tons of dust are windblown out of the Sahara each year, at 15 degrees west longitude, across 1,600 miles (2,600 km) over the Atlantic Ocean (some dust falls into the Atlantic), then at 35 degrees West longitude at the eastern coast of South America, 27.7 million tons (15%) of dust fall over the Amazon basin, 132 million tons of dust remain in the air, 43 million tons of dust are windblown and falls on the Caribbean Sea, past 75 degrees west longitude.	What is the name of the satellite that measured the amount of dust?	calipso satellite	['calipso', 'calipso', 'calipso']	[5]	5
378	"887:3408:bert_large:squad,57265d86f1498d1400e8dd54,Ctenophora,The Beroida"""	 also known as Nuda	 have no feeding appendages	 but their large pharynx		[]	0
379	56f86966aef2371900626057	Luther's Small Catechism proved especially effective in helping parents teach their children; likewise the Larger Catechism was effective for pastors. Using the German vernacular, they expressed the Apostles' Creed in simpler, more personal, Trinitarian language. He rewrote each article of the Creed to express the character of the Father, the Son, or the Holy Spirit. Luther's goal was to enable the catechumens to see themselves as a personal object of the work of the three persons of the Trinity, each of which works in the catechumen's life. That is, Luther depicted the Trinity not as a doctrine to be learned, but as persons to be known. The Father creates, the Son redeems, and the Spirit sanctifies, a divine unity with separate personalities. Salvation originates with the Father and draws the believer to the Father. Luther's treatment of the Apostles' Creed must be understood in the context of the Decalogue (the Ten Commandments) and the Lord's Prayer, which are also part of the Lutheran catechical teaching.	Where does Luther place Salvation?	originates with the father	['with the father', 'with the father', 'father']	[5]	5
380	5726b718dd62a815002e8dbe	"Free movement of goods within the European Union is achieved by a customs union, and the principle of non-discrimination. The EU manages imports from non-member states, duties between member states are prohibited, and imports circulate freely. In addition under the Treaty on the Functioning of the European Union article 34, ‘Quantitative restrictions on imports and all measures having equivalent effect shall be prohibited between Member States’. In Procureur du Roi v Dassonville the Court of Justice held that this rule meant all ""trading rules"" that are ""enacted by Member States"" which could hinder trade ""directly or indirectly, actually or potentially"" would be caught by article 34. This meant that a Belgian law requiring Scotch whisky imports to have a certificate of origin was unlikely to be lawful. It discriminated against parallel importers like Mr Dassonville, who could not get certificates from authorities in France, where they bought the Scotch. This ""wide test"", to determine what could potentially be an unlawful restriction on trade, applies equally to actions by quasi-government bodies, such as the former ""Buy Irish"" company that had government appointees. It also means states can be responsible for private actors. For instance, in Commission v France French farmer vigilantes were continually sabotaging shipments of Spanish strawberries, and even Belgian tomato imports. France was liable for these hindrances to trade because the authorities ‘manifestly and persistently abstained' from preventing the sabotage. Generally speaking, if a member state has laws or practices that directly discriminate against imports (or exports under TFEU article 35) then it must be justified under article 36. The justifications include public morality, policy or security, ""protection of health and life of humans, animals or plants"", ""national treasures"" of ""artistic, historic or archaeological value"" and ""industrial and commercial property."" In addition, although not clearly listed, environmental protection can justify restrictions on trade as an overriding requirement derived from TFEU article 11. More generally, it has been increasingly acknowledged that fundamental human rights should take priority over all trade rules. So, in Schmidberger v Austria the Court of Justice held that Austria did not infringe article 34 by failing to ban a protest that blocked heavy traffic passing over the A13, Brenner Autobahn, en route to Italy. Although many companies, including Mr Schmidberger's German undertaking, were prevented from trading, the Court of Justice reasoned that freedom of association is one of the ‘fundamental pillars of a democratic society’, against which the free movement of goods had to be balanced, and was probably subordinate. If a member state does appeal to the article 36 justification, the measures it takes have to be applied proportionately. This means the rule must be pursue a legitimate aim and (1) be suitable to achieve the aim, (2) be necessary, so that a less restrictive measure could not achieve the same result, and (3) be reasonable in balancing the interests of free trade with interests in article 36."	What helps the process of free movement of goods?	freedom of association	['customs union and the principle of nondiscrimination', 'customs union', 'customs union']	[2]	2
381	56e10179cd28a01900c67415	The Colorado experiments had prepared Tesla for the establishment of the trans-Atlantic wireless telecommunications facility known as Wardenclyffe near Shoreham, Long Island.	Where was Wardenclyffe located?	shoreham long island	['near shoreham long island', 'long island', 'near shoreham long island']	[2]	2
382	57297ed93f37b31900478460	A particularly simple example of a probabilistic test is the Fermat primality test, which relies on the fact (Fermat's little theorem) that np≡n (mod p) for any n if p is a prime number. If we have a number b that we want to test for primality, then we work out nb (mod b) for a random value of n as our test. A flaw with this test is that there are some composite numbers (the Carmichael numbers) that satisfy the Fermat identity even though they are not prime, so the test has no way of distinguishing between prime numbers and Carmichael numbers. Carmichael numbers are substantially rarer than prime numbers, though, so this test can be useful for practical purposes. More powerful extensions of the Fermat primality test, such as the Baillie-PSW, Miller-Rabin, and Solovay-Strassen tests, are guaranteed to fail at least some of the time when applied to a composite number.	What does the Fermat primality test depend upon?	fact fermats little theorem	['np≡n mod p', 'np≡n mod p for any n if p is a prime number', 'np≡n mod p for any n if p is a prime number', 'np≡n mod p for any n if p is a prime number', 'fact fermats little theorem that np≡n mod p for any n if p is a prime number']	[4]	4
383	57267947f1498d1400e8e0ef	In addition to identifying rocks in the field, petrologists identify rock samples in the laboratory. Two of the primary methods for identifying rocks in the laboratory are through optical microscopy and by using an electron microprobe. In an optical mineralogy analysis, thin sections of rock samples are analyzed through a petrographic microscope, where the minerals can be identified through their different properties in plane-polarized and cross-polarized light, including their birefringence, pleochroism, twinning, and interference properties with a conoscopic lens. In the electron microprobe, individual locations are analyzed for their exact chemical compositions and variation in composition within individual crystals. Stable and radioactive isotope studies provide insight into the geochemical evolution of rock units.	Petrologists identify rock samples in the field and where else? 	in the laboratory	['laboratory', 'laboratory', 'laboratory']	[5]	5
384	57263fd138643c19005ad37b	In 1965, at the instigation of Warner Sinback, a data network based on this voice-phone network was designed to connect GE's four computer sales and service centers (Schenectady, Phoenix, Chicago, and Phoenix) to facilitate a computer time-sharing service, apparently the world's first commercial online service. (In addition to selling GE computers, the centers were computer service bureaus, offering batch processing services. They lost money from the beginning, and Sinback, a high-level marketing manager, was given the job of turning the business around. He decided that a time-sharing system, based on Kemney's work at Dartmouth—which used a computer on loan from GE—could be profitable. Warner was right.)	What was Warner Sinback	warner was right	['data network based on this voicephone network was designed to connect ges four computer sales and service centers', 'data network', 'data network']	[5]	5
385	57269c06708984140094cba4	An ambitious scheme of decoration was developed for these new areas: a series of mosaic figures depicting famous European artists of the Medieval and Renaissance period. These have now been removed to other areas of the museum. Also started were a series of frescoes by Lord Leighton: Industrial Arts as Applied to War 1878–1880 and Industrial Arts Applied to Peace, which was started but never finished. To the east of this were additional galleries, the decoration of which was the work of another designer Owen Jones, these were the Oriental Courts (covering India, China and Japan) completed in 1863, none of this decoration survives, part of these galleries became the new galleries covering the 19th century, opened in December 2006. The last work by Fowke was the design for the range of buildings on the north and west sides of the garden, this includes the refreshment rooms, reinstated as the Museum Café in 2006, with the silver gallery above, (at the time the ceramics gallery), the top floor has a splendid lecture theatre although this is seldom open to the general public. The ceramic staircase in the northwest corner of this range of buildings was designed by F. W. Moody and has architectural details of moulded and coloured pottery. All the work on the north range was designed and built in 1864–69. The style adopted for this part of the museum was Italian Renaissance, much use was made of terracotta, brick and mosaic, this north façade was intended as the main entrance to the museum with its bronze doors designed by James Gamble & Reuben Townroe having six panels depicting: Humphry Davy (chemistry); Isaac Newton (astronomy); James Watt (mechanics); Bramante (architecture); Michelangelo (sculpture); Titian (painting); thus representing the range of the museums collections, Godfrey Sykes also designed the terracotta embellishments and the mosaic in the pediment of the North Façade commemorating the Great Exhibition the profits from which helped to fund the museum, this is flanked by terracotta statue groups by Percival Ball. This building replaced Brompton Park House, which could then be demolished to make way for the south range.	What famous English physicist and mathematician was depicted in the main bronze door entrance of the museum?	humphry davy	['isaac newton', 'isaac newton astronomy', 'isaac newton']	[3]	3
386	571a4ead10f8ca1400304fe0	One of the first known experiments on the relationship between combustion and air was conducted by the 2nd century BCE Greek writer on mechanics, Philo of Byzantium. In his work Pneumatica, Philo observed that inverting a vessel over a burning candle and surrounding the vessel's neck with water resulted in some water rising into the neck. Philo incorrectly surmised that parts of the air in the vessel were converted into the classical element fire and thus were able to escape through pores in the glass. Many centuries later Leonardo da Vinci built on Philo's work by observing that a portion of air is consumed during combustion and respiration.	Philo of Byzantium ____ surmised that air converted to fire	philo incorrectly	['incorrectly', 'incorrectly', 'incorrectly', 'incorrectly', 'incorrectly']	[3]	3
